id,queue_type,sequence_id,sqs_message_id,sent_timestamp,received_timestamp,latency_ms,created_at,updated_at
66,fifo,66,7d61a984-3ef7-4401-b0e5-a64697265fc4,1780594601.7008,1780594618.2488,16547.972202301,2026-06-04 17:36:58,2026-06-04 17:36:58
67,fifo,67,373af3a3-3527-485c-a042-f4ec9bcdf321,1780594601.845,1780594618.6599,16814.879894257,2026-06-04 17:36:58,2026-06-04 17:36:58
68,fifo,68,c38af3d7-d493-469a-8839-0934f597054f,1780594601.993,1780594619.0209,17027.904033661,2026-06-04 17:36:59,2026-06-04 17:36:59
69,fifo,69,dd1a7e6f-3bec-4d8a-8996-a1248670d985,1780594602.1389,1780594619.4764,17337.4979496,2026-06-04 17:36:59,2026-06-04 17:36:59
70,fifo,70,895d0aa4-c8a1-462d-a39a-616656f1a21a,1780594602.2871,1780594619.8875,17600.385904312,2026-06-04 17:36:59,2026-06-04 17:36:59
71,fifo,71,f9d682f8-27d6-4d62-a725-ebfff6765cf5,1780594602.4371,1780594620.2948,17857.666015625,2026-06-04 17:37:00,2026-06-04 17:37:00
72,fifo,72,7c58cda3-e93f-4d88-b039-6e4857f17a1d,1780594602.5836,1780594620.6953,18111.683130264,2026-06-04 17:37:00,2026-06-04 17:37:00
73,fifo,73,43d89964-6e23-4ceb-bec3-2cc7de14501a,1780594602.73,1780594621.0726,18342.594146729,2026-06-04 17:37:01,2026-06-04 17:37:01
74,fifo,74,adcd4214-3c2b-4bab-9988-8447fca5b3c1,1780594602.8769,1780594621.423,18546.053886414,2026-06-04 17:37:01,2026-06-04 17:37:01
75,fifo,75,e26bd9ba-4698-4cb7-8906-0ac944b0d44b,1780594603.0903,1780594621.8328,18742.579936981,2026-06-04 17:37:01,2026-06-04 17:37:01
76,fifo,76,66a85005-dcc5-428d-950a-c447ec66ce6f,1780594603.2954,1780594622.2426,18947.136163712,2026-06-04 17:37:02,2026-06-04 17:37:02
77,fifo,77,c4e18ab0-2a41-40bd-9544-243dc289890f,1780594603.4431,1780594622.6508,19207.748174667,2026-06-04 17:37:02,2026-06-04 17:37:02
78,fifo,78,6aa4eabf-dee7-46b7-875c-eb03caeaba4b,1780594603.5874,1780594623.0076,19420.222043991,2026-06-04 17:37:03,2026-06-04 17:37:03
79,fifo,79,3a2646b7-6732-41fa-914f-e37508fcf18f,1780594603.733,1780594623.4706,19737.651109695,2026-06-04 17:37:03,2026-06-04 17:37:03
80,fifo,80,51bb3302-87c2-40a7-a215-46e23efd0895,1780594603.8785,1780594623.8802,20001.644134521,2026-06-04 17:37:03,2026-06-04 17:37:03
81,fifo,81,34eefb92-c48c-4ee5-910c-64597c56f99f,1780594604.0261,1780594624.2331,20207.004070282,2026-06-04 17:37:04,2026-06-04 17:37:04
82,fifo,82,32627bc2-1a52-4925-b49e-e285831eebea,1780594604.728,1780594624.5975,19869.479894638,2026-06-04 17:37:04,2026-06-04 17:37:04
83,fifo,83,c1590cea-8d1e-4f14-9019-2cf8563b7b30,1780594604.9336,1780594625.0072,20073.517084122,2026-06-04 17:37:05,2026-06-04 17:37:05
84,fifo,84,88f42bad-b64c-4e0c-bfa5-c20a07adf2d2,1780594605.1379,1780594625.417,20279.182910919,2026-06-04 17:37:05,2026-06-04 17:37:05
85,fifo,85,6d8ab922-75b4-46db-bff2-ced022e52b7f,1780594605.3436,1780594625.827,20483.391046524,2026-06-04 17:37:05,2026-06-04 17:37:05
86,fifo,86,efc93a8d-e76e-4899-8c6c-0dd64cb6f321,1780594605.4905,1780594626.2357,20745.207071304,2026-06-04 17:37:06,2026-06-04 17:37:06
87,fifo,87,14ca4013-cf40-4ad4-8581-f5419dd10133,1780594605.6533,1780594626.6459,20992.603063583,2026-06-04 17:37:06,2026-06-04 17:37:06
88,fifo,88,7b6778eb-4994-4964-96f6-2b819cb7533d,1780594605.804,1780594627.0554,21251.4128685,2026-06-04 17:37:07,2026-06-04 17:37:07
89,fifo,89,a06d0c7a-ac7b-4a86-a53e-9fd85b9deefa,1780594605.9507,1780594627.3775,21426.772117615,2026-06-04 17:37:07,2026-06-04 17:37:07
90,fifo,90,aaebd497-5046-4a37-a063-a7314394035b,1780594606.1016,1780594627.7743,21672.710895538,2026-06-04 17:37:07,2026-06-04 17:37:07
91,fifo,91,99459df1-91ff-42c1-8ded-d3f8da2b5cc4,1780594606.2522,1780594628.1815,21929.220914841,2026-06-04 17:37:08,2026-06-04 17:37:08
92,fifo,92,780e03e0-6bb3-4ae8-b328-091ede4d3538,1780594606.399,1780594628.5398,22140.718221664,2026-06-04 17:37:08,2026-06-04 17:37:08
93,fifo,93,4bcd8c2f-dc99-40ce-9ce4-00de7db66fab,1780594606.5463,1780594628.8527,22306.385040283,2026-06-04 17:37:08,2026-06-04 17:37:08
94,fifo,94,85bfe017-f8c4-4119-9131-746252bc4e63,1780594606.6959,1780594629.2073,22511.406898499,2026-06-04 17:37:09,2026-06-04 17:37:09
95,fifo,95,c389797d-5de2-4fa5-b414-2dab3da158c6,1780594606.8427,1780594629.6136,22770.936965942,2026-06-04 17:37:09,2026-06-04 17:37:09
96,fifo,96,0e296b98-cc8a-46e4-863a-2b3dc188d679,1780594607.0832,1780594629.9686,22885.385990143,2026-06-04 17:37:09,2026-06-04 17:37:09
97,fifo,97,55c44850-31b2-41f6-bfeb-6897aed0d43d,1780594607.288,1780594630.4346,23146.598815918,2026-06-04 17:37:10,2026-06-04 17:37:10
98,fifo,98,70e7b497-6b2c-44be-a935-17cc4ff63735,1780594607.4939,1780594631.3102,23816.271066666,2026-06-04 17:37:11,2026-06-04 17:37:11
99,fifo,99,2746c37f-ed1f-4792-9a09-91c6256a0b57,1780594607.6977,1780594631.6629,23965.19112587,2026-06-04 17:37:11,2026-06-04 17:37:11
100,fifo,100,8cee7298-b4fb-4790-aed2-f273b7245092,1780594607.9029,1780594632.0724,24169.432163239,2026-06-04 17:37:12,2026-06-04 17:37:12
101,standard,1,13c8905d-97cf-4d06-b9ea-69271fd57554,1780594709.4661,1780594714.1221,4655.9979915619,2026-06-04 17:38:34,2026-06-04 17:38:34
102,standard,6,097d83f6-12f4-4f51-90c3-f1ce073e5a47,1780594711.1241,1780594714.6114,3487.3218536377,2026-06-04 17:38:34,2026-06-04 17:38:34
103,standard,16,76062e41-925c-4746-bedb-89b6496b848c,1780594713.1731,1780594715.0204,1847.2571372986,2026-06-04 17:38:35,2026-06-04 17:38:35
104,standard,2,a95d3472-4045-4d76-b834-453d69ac5a82,1780594710.4228,1780594715.4371,5014.2579078674,2026-06-04 17:38:35,2026-06-04 17:38:35
105,standard,12,e634cf0e-2379-4b08-bef3-da5238213a02,1780594712.3534,1780594715.7879,3434.4818592072,2026-06-04 17:38:35,2026-06-04 17:38:35
106,standard,18,38ba8a7e-45f8-4a07-bb2c-d9b54b03461c,1780594713.5224,1780594716.0995,2577.1291255951,2026-06-04 17:38:36,2026-06-04 17:38:36
107,standard,8,60c087a9-9eca-4433-a030-500bf6267bf7,1780594711.5355,1780594716.4067,4871.1800575256,2026-06-04 17:38:36,2026-06-04 17:38:36
